41020,1,1,1
41300,1,1,1
47740,0,0,1
48300,1,2,1
48580,1,2,1
48860,1,2,1
49140,1,2,1
49980,1,2,1
50260,1,2,1
50540,1,2,1
51660,1,2,1
51940,1,2,1
52220,1,2,1
52780,0,0,1
53060,0,0,1
125580,0,0,1
126420,0,0,1
133700,0,0,1
133980,0,0,1
139020,0,0,1
141260,0,0,1
141540,0,0,1
141820,0,0,1
145740,0,0,1
146020,0,0,1
146300,0,0,1
146580,0,0,1
154980,0,0,1
155260,0,0,1
156100,0,0,1
156380,0,0,1
158060,0,0,1
158340,0,0,1
267260,1,2,1
267540,1,2,1
326340,0,0,1
326620,0,0,1
326900,0,0,1
327180,0,0,1
377580,1,1,1
379260,0,0,1
380380,1,1,1
380660,1,1,1
381780,0,0,1
383740,0,0,1
384020,0,0,1
391580,0,0,1
391860,0,0,1
397740,1,1,1
398020,1,1,1
400540,1,1,1
400820,1,1,1
401100,1,1,1
420420,0,0,1
