72660,2,2,1
72940,2,2,1
91140,2,1,1
91420,2,1,1
96740,0,0,1
97860,2,1,1
98140,2,1,1
132300,0,0,1
132580,0,0,1
135660,0,0,1
137060,1,1,1
137340,1,1,1
138180,0,0,1
138460,0,0,1
142940,1,2,1
143220,1,2,1
143500,1,2,1
143780,1,2,1
144060,1,2,1
149660,1,3,1
149940,1,3,1
154980,0,0,1
155260,0,0,1
194740,0,0,1
198100,0,0,1
198380,0,0,1
198660,0,0,1
198940,0,0,1
199220,0,0,1
199500,0,0,1
199780,0,0,1
200060,0,0,1
200340,0,0,1
200620,0,0,1
200900,0,0,1
201180,0,0,1
201740,1,2,1
202020,1,2,1
208460,0,0,1
210140,0,0,1
210420,0,0,1
212100,0,0,1
212380,0,0,1
212660,0,0,1
212940,0,0,1
215180,0,0,1
215460,0,0,1
217980,0,0,1
219100,0,0,1
220500,0,0,1
220780,0,0,1
253820,0,0,1
254100,0,0,1
351260,0,0,1
407820,1,2,1
408100,1,2,1
411180,0,0,1
413700,1,2,1
413980,1,2,1
434700,0,0,1
434980,0,0,1
438900,0,0,1
439180,0,0,1
443940,0,0,1
444220,0,0,1
444500,0,0,1
445620,0,0,1
445900,0,0,1
446180,0,0,1
446460,0,0,1
446740,0,0,1
447020,0,0,1
447300,0,0,1
447580,1,2,1
447860,1,2,1
448140,1,2,1
453460,0,0,1
453740,0,0,1
