980,0,0,1
70140,0,0,1
70420,0,0,1
70700,0,0,1
70980,0,0,1
76860,1,2,1
77140,1,2,1
77420,1,2,1
81900,1,2,1
84140,1,2,1
84420,1,2,1
84700,1,2,1
88060,1,2,1
88340,1,2,1
88620,1,2,1
88900,1,2,1
95340,0,0,1
95620,0,0,1
95900,0,0,1
165620,1,2,1
165900,1,2,1
200340,0,0,1
200620,0,0,1
262780,0,0,1
264460,0,0,1
268380,0,0,1
268660,0,0,1
302540,1,2,1
302820,1,2,1
304780,1,2,1
305060,1,2,1
305900,1,2,1
307020,0,0,1
307580,1,2,1
307860,1,2,1
315420,0,0,1
315700,0,0,1
321300,2,2,1
321580,2,2,1
321860,2,2,1
324380,1,2,1
324660,1,2,1
324940,1,2,1
339780,2,2,1
340060,2,2,1
